species_en,species_scientific,species_de
Rufous-faced Warbler,Abroscopus albogularis,Rostwangen-Dickichtsänger
Black-faced Warbler,Abroscopus schisticeps,Schieferkopf-Dickichtsänger
Yellow-bellied Warbler,Abroscopus superciliaris,Bambusdickichtsänger
Wattled Guan,Aburria aburri,Lappenguan
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,Braunkehl-Honigfresser
Peg-billed Finch,Acanthidops bairdi,Vulkanammertangare
Lesser Redpoll,Acanthis cabaret,Alpenbirkenzeisig
Common Redpoll,Acanthis flammea,Taigabirkenzeisig
Hoary Redpoll,Acanthis hornemanni,Polarbirkenzeisig
Rifleman,Acanthisitta chloris,Grünstummelschwanz
Inland Thornbill,Acanthiza apicalis,Stelzschwanz-Dornschnabel
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,Gelbbürzel-Dornschnabel
Tasmanian Thornbill,Acanthiza ewingii,Tasmandornschnabel
Western Thornbill,Acanthiza inornata,Walddornschnabel
Striated Thornbill,Acanthiza lineata,Stricheldornschnabel
Yellow Thornbill,Acanthiza nana,Gelbbauch-Dornschnabel
Brown Thornbill,Acanthiza pusilla,Roststirn-Dornschnabel
Buff-rumped Thornbill,Acanthiza reguloides,Goldhähnchen-Dornschnabel
Chestnut-rumped Thornbill,Acanthiza uropygialis,Braunbürzel-Dornschnabel
Western Spinebill,Acanthorhynchus superciliosus,Buntkopf-Honigfresser
Eastern Spinebill,Acanthorhynchus tenuirostris,Rotnacken-Honigfresser
Shikra,Accipiter badius,Schikrasperber
Bicolored Hawk,Accipiter bicolor,Zweifarbhabicht
Collared Sparrowhawk,Accipiter cirrocephalus,Halsringsperber
Cooper's Hawk,Accipiter cooperii,Rundschwanzhabicht
Brown Goshawk,Accipiter fasciatus,Bänderhabicht
Northern Goshawk,Accipiter gentilis,Habicht
Japanese Sparrowhawk,Accipiter gularis,Trillersperber
Variable Goshawk,Accipiter hiogaster,Inselhabicht
Black Goshawk,Accipiter melanoleucus,Dominohabicht
Little Sparrowhawk,Accipiter minullus,Zwergsperber
Eurasian Sparrowhawk,Accipiter nisus,Sperber
Gray Goshawk,Accipiter novaehollandiae,Grauhabicht
Gray-bellied Hawk,Accipiter poliogaster,Graubauchhabicht
Chinese Sparrowhawk,Accipiter soloensis,Froschsperber
Sharp-shinned Hawk,Accipiter striatus,Eckschwanzsperber
Tiny Hawk,Accipiter superciliosus,Tiny Hawk
African Goshawk,Accipiter tachiro,Afrikahabicht
Spot-tailed Goshawk,Accipiter trinotatus,Fleckschwanzsperber
Crested Goshawk,Accipiter trivirgatus,Schopfhabicht
Besra,Accipiter virgatus,Besrasperber
Rufous-necked Hornbill,Aceros nipalensis,Nepalhornvogel
Rockrunner,Achaetops pycnopygius,Klippensänger
Vinous-breasted Starling,Acridotheres burmannicus,Burmamaina
Crested Myna,Acridotheres cristatellus,Haubenmaina
Jungle Myna,Acridotheres fuscus,Dschungelmaina
Bank Myna,Acridotheres ginginianus,Ufermaina
Great Myna,Acridotheres grandis,Riesenmaina
Javan Myna,Acridotheres javanicus,Javamaina
Common Myna,Acridotheres tristis,Hirtenmaina
Northern Cricket Frog,Acris crepitans,Northern Cricket Frog
Southern Cricket Frog,Acris gryllus,Southern Cricket Frog
Pink-legged Graveteiro,Acrobatornis fonsecai,Plantagenschlüpfer
Paddyfield Warbler,Acrocephalus agricola,Feldrohrsänger
Great Reed Warbler,Acrocephalus arundinaceus,Drosselrohrsänger
Australian Reed Warbler,Acrocephalus australis,Australrohrsänger
African Reed Warbler,Acrocephalus baeticatus,African Reed Warbler
Black-browed Reed Warbler,Acrocephalus bistrigiceps,Brauenrohrsänger
Blunt-winged Warbler,Acrocephalus concinens,Strauchrohrsänger
Blyth's Reed Warbler,Acrocephalus dumetorum,Buschrohrsänger
Lesser Swamp Warbler,Acrocephalus gracilirostris,Kaprohrsänger
Basra Reed Warbler,Acrocephalus griseldis,Basrarohrsänger
Moustached Warbler,Acrocephalus melanopogon,Mariskenrohrsänger
Madagascar Swamp Warbler,Acrocephalus newtoni,Madagaskarrohrsänger
Oriental Reed Warbler,Acrocephalus orientalis,Chinarohrsänger
Aquatic Warbler,Acrocephalus paludicola,Seggenrohrsänger
Marsh Warbler,Acrocephalus palustris,Sumpfrohrsänger
Greater Swamp Warbler,Acrocephalus rufescens,Papyrusrohrsänger
Sedge Warbler,Acrocephalus schoenobaenus,Schilfrohrsänger
Eurasian Reed Warbler,Acrocephalus scirpaceus,Teichrohrsänger
Clamorous Reed Warbler,Acrocephalus stentoreus,Stentorrohrsänger
Manchurian Reed Warbler,Acrocephalus tangorum,Mandschurenrohrsänger
Ocellated Tapaculo,Acropternis orthonyx,Perlmanteltapaculo
Rufous-collared Kingfisher,Actenoides concretus,Malaienliest
Spotted Kingfisher,Actenoides lindsayi,Tropfenliest
Green-backed Kingfisher,Actenoides monachus,Einsiedlerliest
Blue-winged Minla,Actinodura cyanouroptera,Blauflügelsiva
