end_time_s,fk_plots_id,time_stamp,art_to_check,begin_time_s,low_freq_hz,high_freq_hz,species_code,common_name,confidence,art_deutsch,path,plot_info,total_time,id_seq
150,11_FF,2021-04-03T08:53:00Z,Karmingimpel,142,150,12000,comros,Common Rosefinch,0.989,Karmingimpel,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_11_FF\20210403_085300.WAV,11_FF 2021-04-03 08:53:00,13,1
150,11_FF,2021-04-03T08:53:00Z,Karmingimpel,142,150,12000,coatit2,Coal Tit,0.0714,Tannenmeise,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_11_FF\20210403_085300.WAV,11_FF 2021-04-03 08:53:00,13,1
141,08_PS,2021-04-16T04:04:00Z,Karmingimpel,133,150,12000,comros,Common Rosefinch,0.9579,Karmingimpel,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_8_PS\20210416_040400.WAV,08_PS 2021-04-16 04:04:00,13,2
141,08_PS,2021-04-16T04:04:00Z,Karmingimpel,133,150,12000,coatit2,Coal Tit,0.8849,Tannenmeise,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_8_PS\20210416_040400.WAV,08_PS 2021-04-16 04:04:00,13,2
141,08_PS,2021-04-16T04:04:00Z,Karmingimpel,133,150,12000,comchi1,Common Chiffchaff,0.0208,Zilpzalp,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_8_PS\20210416_040400.WAV,08_PS 2021-04-16 04:04:00,13,2
168,03_FF,2021-04-23T06:03:00Z,Karmingimpel,160,150,12000,comros,Common Rosefinch,0.8176,Karmingimpel,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_3_FF\20210423_060300.WAV,03_FF 2021-04-23 06:03:00,13,3
168,03_FF,2021-04-23T06:03:00Z,Karmingimpel,160,150,12000,comchi1,Common Chiffchaff,0.2004,Zilpzalp,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_3_FF\20210423_060300.WAV,03_FF 2021-04-23 06:03:00,13,3
168,03_FF,2021-04-23T06:03:00Z,Karmingimpel,160,150,12000,coatit2,Coal Tit,0.1437,Tannenmeise,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_3_FF\20210423_060300.WAV,03_FF 2021-04-23 06:03:00,13,3
168,03_FF,2021-04-23T06:03:00Z,Karmingimpel,160,150,12000,comred2,Common Redstart,0.0768,Gartenrotschwanz,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_3_FF\20210423_060300.WAV,03_FF 2021-04-23 06:03:00,13,3
168,03_FF,2021-04-23T06:03:00Z,Karmingimpel,160,150,12000,gretit1,Great Tit,0.0419,Kohlmeise,P:\Archive\WNS\Motten\2021_2022\210501_Audiomotten_April\Motte_3_FF\20210423_060300.WAV,03_FF 2021-04-23 06:03:00,13,3
